IL_STATION_ID,NAME,SIGMA_ASQ,PHI (A),NUGGET,RMSE,Y,X,DA,CLon,SON.Precip,AWC,Drain.Index,STAT.Perm,PermBXThick
05445500,Rock Creek near Morrison.  IL,0.100762949,1047180.284,0,,2107649.02,497270.1486,157.750654,89.870433,2.921442634,20.47892811,11.20876846,1.763091578,168.3830101
05446000,Rock Creek at Morrison.  IL,0.054779739,738439.0428,0,,2104000.496,496960.3722,164.558028,89.874933,2.920344693,20.4813545,11.14588731,1.752220258,172.069192
05447000,Green River at Amboy.  IL,0.027721506,462077.341,0,,2097850.036,550955.3096,198.252238,89.139739,3.051620303,19.61292109,7.039956496,2.245233927,2487.162542
05447500,Green River near Geneseo.  IL,0.050353571,638282.2859,0,,2068623.041,483808.3254,998.465169,89.662111,2.985432335,19.14102824,8.566031144,2.786070992,8073.342551
05448000,Mill Creek at Milan.  IL,0.031993291,535371.2959,0,,2061421.683,451174.298,62.137576,90.590423,2.859595796,20.42932167,12.56359717,1.318682735,122.2767378
05466000,Edwards River near Orion.  IL,0.036056033,510506.8652,0,,2043295.349,467092.79,155.610049,90.155787,2.937517474,19.72315019,6.526200101,1.264181783,1125.265151
05466500,Edwards River near New Boston.  IL,0.033859452,508627.9187,0,,2031041.489,418625.7609,444.782685,90.439688,2.896453081,19.86827294,10.37129915,1.366113922,1391.968592
05467000,Pope Creek near Keithsburg.  IL,0.029515679,467257.7414,0,,2024665.547,422982.6462,169.620552,90.571017,2.88415807,19.78131155,10.21528145,1.239751825,415.4977952
05467500,Henderson Creek near Little York.  IL,0.034604649,561525.5801,0,,2015933.788,437956.1774,149.559856,90.473885,2.950957381,19.64262697,7.578352295,1.117362151,254.9155173
05469500,South Henderson Creek at Biggsville.  IL,0.048409196,409558.5131,0,,1994566.474,429214.4402,81.164923,90.739392,3.02758166,20.77207812,9.825118211,1.305525636,76.32951102
05495500,Bear Creek near Marcelline.  IL,0.008518538,249495.6675,0,,1912628.332,393649.8133,349.285334,91.192605,3.239190362,18.74890983,6.749816347,0.874992701,415.8042216
05502020,Hadley Creek near Barry.  IL,0.014753983,415826.1125,0,,1865736.853,419007.7454,40.807987,90.996972,3.310503357,19.63011736,11.73209793,1.154310996,19.34829663
05502040,Hadley Creek at Kinderhook.  IL,0.008518037,332660.89,0,,1863036.085,412098.2443,72.358967,91.034008,3.304024847,19.93283388,12.40987542,1.182248236,28.18252077
05513000,Bay Creek at Nebo.  IL,0.009723996,415826.1125,0,,1836753.132,443572.899,148.065032,90.780104,3.270996981,20.0949544,13.42402764,1.231520572,135.2615568
05519500,West Creek near Schneider.  IN,0.014285524,415826.106,0,,2054498.255,706515.9123,55.052143,87.496965,3.222325457,15.9496151,6.298930003,0.766517958,1532.610602
05525500,Sugar Creek at Milford.  IL,0.015735101,296941.8937,0,,1987718.024,693319.6264,444.879992,87.697865,2.9949753,16.96863604,6.206331346,1.364696295,1814.00756
05526500,Terry Creek near Custer Park.  IL,0.014935511,354964.8824,0,,2052422.954,656400.5963,12.122781,88.053678,3.063547213,11.28780244,15.5597169,6.115808873,1836.955069
05527800,Des Plaines River at Russell.  IL,0.044834849,786695.0095,0,,2193623.535,658775.3803,122.951388,88.001005,2.854681792,17.48312624,6.951207808,0.722107792,2369.513861
05527950,Mill Creek at Old Mill Creek.  IL,0.033122061,749788.579,0,,2185097.888,655960.0762,62.540783,88.024685,2.881941157,17.09862741,8.721114741,0.819634977,1566.291263
05542000,Mazon River near Coal City.  IL,0.018353147,415826.1051,0,,2056533.143,634216.9626,452.994836,88.373563,3.047474585,16.11660097,3.359497941,1.391055367,110.2517171
05547755,Squaw Creek at Round Lake.  IL,0.024058817,531600.0783,0,,2176988.67,646856.7219,18.138994,88.081493,2.897305039,18.64893391,6.594192255,0.908082607,274.9438001
